IDPedido,FechaPedido,FechaEnvío,ModoEnvío,ID_cliente,NombreCliente,Segmento,CodigoPostal,Ciudad,Estado,Pais,Region,Mercado,IDProducto,Categoria,Subcategoria,NombreProducto,Ventas,Cantidad,Descuento,Beneficio,CostoEnvio,PrioridadPedido
CA-2014-AB10015140-41954,41954,41956,Urgente,AB-100151402,Aaron Bergman,Consumidor,73120,Oklahoma City,Oklahoma,Estados Unidos,Centro de EE. UU.,USCA,TEC-PH-5816,Tecnología,Teléfonos,Samsung Convoy 3,221.98,2,0,62.15,40.77,Alto
IN-2014-JR162107-41675,41675,41677,Segunda clase,JR-162107,Justin Ritter,Empresarial,,Wollongong,Nueva Gales del Sur,Australia,Oceanía,Asia-Pacífico,FUR-CH-5379,Mobiliario,Sillas,"Novimex Executive Leather Armchair, Black",3709.4,9,0.1,-288.77,923.63,Crítica
IN-2014-CR127307-41929,41929,41930,Urgente,CR-127307,Craig Reiter,Consumidor,,Brisbane,Queensland,Australia,Oceanía,Asia-Pacífico,TEC-PH-5356,Tecnología,Teléfonos,"Nokia Smart Phone, with Caller ID",5175.17,9,0.1,919.97,915.49,Medio
ES-2014-KM1637548-41667,41667,41669,Urgente,KM-1637548,Katherine Murray,Oficina en casa,,Berlín,Berlín,Alemania,Europa Occidental,Europa,TEC-PH-5267,Tecnología,Teléfonos,"Motorola Smart Phone, Cordless",2892.51,5,0.1,-96.54,910.16,Medio
SG-2014-RH9495111-41948,41948,41949,Mismo día,RH-9495111,Rick Hansen,Consumidor,,Dakar,Dakar,Senegal,África Occidental,África,TEC-CO-6011,Tecnología,Copiadoras,"Sharp Wireless Fax, High-Speed",2832.96,8,0,311.52,903.04,Crítica
IN-2014-JM156557-41818,41818,41821,Segunda clase,JM-156557,Jim Mitchum,Empresarial,,Sydney,Nueva Gales del Sur,Australia,Oceanía,Asia-Pacífico,TEC-PH-5842,Tecnología,Teléfonos,"Samsung Smart Phone, with Caller ID",2862.68,5,0.1,763.28,897.35,Crítica
IN-2012-TS2134092-41219,41219,41221,Urgente,TS-2134092,Toby Swindell,Consumidor,,Porirua,Wellington,Nueva Zelanda,Oceanía,Asia-Pacífico,FUR-CH-5378,Mobiliario,Sillas,"Novimex Executive Leather Armchair, Adjustable",1822.08,4,0,564.84,894.77,Crítica
IN-2013-MB1808592-41378,41378,41382,Clase estándar,MB-1808592,Mick Brown,Consumidor,,Hamilton,Waikato,Nueva Zelanda,Oceanía,Asia-Pacífico,FUR-TA-3764,Mobiliario,Mesas,"Chromcraft Conference Table, Fully Assembled",5244.84,6,0,996.48,878.38,Alto
CA-2014-AB10015140-41954,41954,41956,Urgente,AB-100151402,Aaron Bergman,Consumidor,73120,Oklahoma City,Oklahoma,Estados Unidos,Centro de EE. UU.,USCA,FUR-BO-5957,Mobiliario,Librerías,"Sauder Facets Collection Library, Sky Alder Finish",341.96,2,0,54.71,25.27,Alto
CA-2012-AB10015140-40974,40974,40975,Urgente,AB-100151404,Aaron Bergman,Consumidor,98103,Seattle,Washington,Estados Unidos,Oeste de EE. UU.,USCA,FUR-CH-4421,Mobiliario,Sillas,"Global Push Button Manager's Chair, Indigo",48.71,1,0.2,5.48,11.13,Alto
CA-2012-AB10015140-40974,40974,40975,Urgente,AB-100151404,Aaron Bergman,Consumidor,98103,Seattle,Washington,Estados Unidos,Oeste de EE. UU.,USCA,OFF-AR-5309,Material de oficina,Arte,Newell 330,17.94,3,0,4.66,4.29,Alto
ID-2013-AJ107801-41383,41383,41386,Urgente,AJ-107801,Anthony Jacobs,Empresarial,,Kabul,Kabul,Afganistán,Asia Meridional,Asia-Pacífico,FUR-TA-3420,Mobiliario,Mesas,"Bevis Conference Table, Fully Assembled",4626.15,5,0,647.55,835.57,Alto
